canonical_jp_name,english_name,room_type,partner,start_date,end_date,known_features,parade_mii_status,evidence_grade,status,notes
永谷園生姜部の間,Nagatanien Ginger Club Room,partner,Nagatanien,2009-12-18,2010-02-28,"3 recipes; Ginger Club song; activity introduction; 200-person sampling giveaway; Friday calendar tie-in",visual_reference_found,A,confirmed,"Primary release preserves branded tile-menu and entrance screenshots with two orange-clad host Miis; binary not found"
音楽の間,Music Room,partner,RecoChoku,2009-11-21,,"music videos; ringtone ranking; Western music ranking/channel; artist features; QR links to mobile purchases",logo_reference_found,A,confirmed,"Launch feature artists: FUNKY MONKEY BABYS; Hexagon All Stars; BENNIE BECCA; Yuzu; official January 2012 directory confirms music videos and rankings; logo URL survives but binary is missing"
ライフネット生命の間,Lifenet Life Insurance Room,partner,Lifenet,2009-12-21,,"目からウロコの保険塾 insurance explainer series",logo_reference_found,A,confirmed,"Primary company report and official Wii no Ma directory; referenced logo binary is missing"
よしもとの間,Yoshimoto Room,partner,Yoshimoto,2009-08,,"original performer projects; live comedy; anime; Yoshimoto Shinkigeki; films",celebrity_visual_and_logo_reference_found,A,partial,"Official directory confirms content/logo filename; preserved dialogue identifies concierge Hiroyuki Yabe and directs users to the room by the houseplant; logo binary/exact opening day/full menu still needed"
ポケモンの間,Pokemon Room,franchise,The Pokemon Company,2009-11-21,2010-02-28,"selected Pokemon Gold/Silver-era anime; room-exclusive coupon redeemable for a present at Pokemon Center; game-related material",logo_reference_found,A,partial,"Official directory confirms coupon and preserves logo URL but not binary; content rotation still requires complete recovery"
Hondaの間,Honda Room,partner,Honda,2009-05-01,,"company introduction; user questionnaire; Insight story ある日突然グリーンマシーン; later ASIMO animation; ポンちゃん一家 introduction videos; campaign material; reported ASIMO giveaway",logo_reference_found,A,partial,"Launch-week hands-on reporting confirms Honda as an original Company Room sponsor and names the Insight story; official January 2010 directory confirms later ASIMO animation; official March 2011 directory names ポンちゃん一家; binary/full layout still missing"
Jリーグの間,J.League Room,partner,J.League Media Promotion,,,"J.League mission presentation; historic league video; calendar schedule tie-ins",logo_reference_found,A,partial,"Official directory identifies partner and logo filename; separate room material from paid theater catalog"
みんなの間,Everyone's Room,community,Wii no Ma,2010-06-19,,"themed photo submissions; selected works displayed; user vote chose Grand Prix; winner's Mii became host and joined parade carrying room placard; selected creators received their own Mii stamp",visual_reference_found,A,confirmed,"Nintendo NOM No.146 preserves gallery/carousel/crowd layout; themes included face-like photos; appetizing photos; fake composite photos; authentic binary not found"
カービィの間,Kirby Room,franchise,Nintendo / HAL Laboratory / Warpstar,2011-10-17,2012-04-30,"5 free Kirby anime episodes; game trailers; character encyclopedia; first 100-person Kirby-goods giveaway deadline 2011-11-11",not_found,A,confirmed,"Official October 2011 topics page; service-end date is not necessarily the room's formally announced end date"
ワーナーの間,Warner Room,partner,Warner Entertainment Japan,2009-12-25,,"entertainment information; film/DVD promotion; reported giveaways",logo_reference_found,A,partial,"Official January 2010 directory confirms room, partner, description, and logo filename but not binary; contemporary launch log records room addition alongside a Warner-heavy Theater update; distinguish from Theater catalog"
ディズニーの間,Disney Room,franchise,Walt Disney Japan,,2012-04-30,"Disney-branded hub; free animation episodes; present campaigns",logo_reference_found,A,confirmed,"Official January 2012 directory explicitly describes free animation distribution and presents; room remained through service shutdown; exact opening date/menu rotations remain missing"
バレンタインの間,Valentine Room,seasonal,Wii no Ma,2010-02-11,2010-02-14,"6 partner-provided sweets/Valentine giveaways; mandatory provider CM playback before application; completed entries marked 済",not_found,A,confirmed,"Exact dates from official topics archive; mechanics and prize count from contemporary illustrated report"
福袋の間,Lucky Bag Room 2010,seasonal,Wii no Ma,2010-01-01,2010-01-05,"multiple prize drawings including a Kirby lucky bag; 890000 applications reported across five days",not_found,A,partial,"Nintendo NOM No.146 confirms campaign scale; complete prize list still missing"
